epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4381,1.2876,0.79648,1.03418,0.93615,0.92616,0.95704,0.63335,1.15408,0.76016,0.96811,0.0033284,0.0033284,0.0033284
2,157.73,1.30807,0.80974,1.03505,0.93997,0.90834,0.96233,0.62242,1.18808,0.74833,0.97804,0.00655181,0.00655181,0.00655181
3,229.835,1.36544,0.85696,1.07182,0.88301,0.90152,0.93333,0.56964,1.27343,0.93148,1.01972,0.00966522,0.00966522,0.00966522
4,297.059,1.42845,0.92066,1.08496,0.92435,0.90301,0.95024,0.56957,1.29302,0.87411,1.03439,0.009505,0.009505,0.009505
5,365.606,1.42957,0.93754,1.08896,0.84202,0.87864,0.91771,0.53331,1.36491,1.64619,1.04455,0.00934,0.00934,0.00934
6,432.588,1.42639,0.92801,1.08606,0.87488,0.88412,0.92308,0.56564,1.29322,0.92937,1.01785,0.009175,0.009175,0.009175
7,499.386,1.41481,0.91191,1.08898,0.9055,0.92735,0.94297,0.58955,1.25211,0.89627,1.00717,0.00901,0.00901,0.00901
8,566.135,1.41456,0.92437,1.08507,0.87483,0.91606,0.94159,0.55631,1.30347,0.9904,1.0268,0.008845,0.008845,0.008845
9,632.54,1.42367,0.90903,1.08415,0.92176,0.91636,0.95072,0.59626,1.25991,0.81011,1.00619,0.00868,0.00868,0.00868
10,699.192,1.40116,0.91134,1.07863,0.89414,0.88605,0.93187,0.54832,1.30081,1.02802,1.03587,0.008515,0.008515,0.008515
11,765.795,1.39896,0.89661,1.08023,0.90194,0.93802,0.95649,0.59242,1.24237,0.89723,1.00191,0.00835,0.00835,0.00835
12,833.001,1.39921,0.89217,1.07966,0.87939,0.91786,0.94282,0.59207,1.22159,0.98498,0.99996,0.008185,0.008185,0.008185
13,899.358,1.39707,0.89081,1.07601,0.89254,0.92359,0.94549,0.59175,1.23042,0.82154,1.00542,0.00802,0.00802,0.00802
14,965.803,1.38844,0.88924,1.06978,0.89746,0.87868,0.9374,0.58859,1.23718,0.98405,1.00455,0.007855,0.007855,0.007855
15,1035.21,1.37355,0.88033,1.06138,0.90663,0.89468,0.93682,0.60586,1.20872,0.82347,0.9893,0.00769,0.00769,0.00769
16,1099.36,1.38307,0.87604,1.07324,0.89273,0.92276,0.94773,0.59162,1.24057,0.84403,1.00778,0.007525,0.007525,0.007525
17,1163.56,1.37728,0.87962,1.06477,0.91431,0.90862,0.94666,0.61339,1.2043,0.79556,0.99033,0.00736,0.00736,0.00736
18,1228.29,1.37236,0.86597,1.06374,0.90397,0.91574,0.95042,0.62367,1.20747,0.83646,0.97902,0.007195,0.007195,0.007195
19,1292.75,1.36883,0.85795,1.05962,0.91873,0.90578,0.94371,0.61156,1.18612,0.88115,0.9802,0.00703,0.00703,0.00703
20,1356.86,1.35946,0.85204,1.05539,0.91284,0.93325,0.95184,0.60453,1.24643,0.94619,0.99795,0.006865,0.006865,0.006865
21,1421.07,1.35748,0.84184,1.05962,0.89621,0.91956,0.94827,0.6173,1.23265,0.83707,0.99257,0.0067,0.0067,0.0067
22,1485.23,1.34303,0.85221,1.05974,0.90845,0.91518,0.94442,0.62022,1.18191,0.76765,0.97798,0.006535,0.006535,0.006535
23,1549.63,1.35516,0.84567,1.06123,0.91244,0.92039,0.95399,0.63263,1.17325,0.78192,0.9724,0.00637,0.00637,0.00637
24,1613.96,1.33367,0.83204,1.04927,0.9238,0.914,0.95487,0.63087,1.17543,0.74033,0.98233,0.006205,0.006205,0.006205
25,1678.31,1.33442,0.83228,1.05328,0.92591,0.91693,0.95142,0.6315,1.16698,0.79136,0.96067,0.00604,0.00604,0.00604
26,1742.82,1.33739,0.83078,1.04754,0.93172,0.9268,0.95879,0.63984,1.15557,0.75795,0.97101,0.005875,0.005875,0.005875
27,1807.64,1.30813,0.81627,1.04146,0.9159,0.91417,0.959,0.63733,1.16557,0.74114,0.96964,0.00571,0.00571,0.00571
28,1872.6,1.31324,0.8092,1.03835,0.92239,0.92332,0.96441,0.63615,1.17961,0.77167,0.96798,0.005545,0.005545,0.005545
29,1937.01,1.30001,0.80644,1.03292,0.92321,0.91418,0.95411,0.64694,1.13978,0.73824,0.95696,0.00538,0.00538,0.00538
30,2001.95,1.29847,0.8075,1.04257,0.91911,0.93047,0.95111,0.6426,1.15198,0.7419,0.96659,0.005215,0.005215,0.005215
31,2066.1,1.29104,0.80301,1.03569,0.93187,0.92396,0.95231,0.64256,1.14246,0.74387,0.964,0.00505,0.00505,0.00505
32,2130.82,1.29632,0.79707,1.03975,0.91571,0.91566,0.95039,0.6418,1.14153,0.75555,0.96288,0.004885,0.004885,0.004885
33,2195.68,1.28089,0.78472,1.03411,0.93147,0.92141,0.9562,0.6474,1.13044,0.75115,0.96009,0.00472,0.00472,0.00472
34,2260.54,1.28083,0.78357,1.03321,0.92799,0.92298,0.95587,0.65085,1.13079,0.71691,0.95877,0.004555,0.004555,0.004555
35,2325.41,1.27264,0.77595,1.0259,0.92198,0.9251,0.95917,0.6536,1.12302,0.73343,0.9535,0.00439,0.00439,0.00439
36,2389.85,1.27579,0.77129,1.02793,0.92592,0.93426,0.96123,0.66284,1.13017,0.69291,0.95261,0.004225,0.004225,0.004225
37,2454.44,1.26124,0.76785,1.02762,0.92222,0.93534,0.95415,0.65441,1.12726,0.73318,0.95624,0.00406,0.00406,0.00406
38,2519.09,1.26707,0.7734,1.02613,0.91779,0.9369,0.95507,0.65786,1.11289,0.7577,0.95412,0.003895,0.003895,0.003895
39,2584.07,1.25033,0.75904,1.01836,0.91911,0.91388,0.9548,0.66181,1.10399,0.74274,0.94384,0.00373,0.00373,0.00373
40,2648.93,1.2459,0.75306,1.02069,0.93327,0.92874,0.96161,0.66459,1.10205,0.72087,0.94361,0.003565,0.003565,0.003565
41,2713.66,1.24147,0.74772,1.01807,0.9311,0.9406,0.96255,0.66474,1.0937,0.69767,0.94156,0.0034,0.0034,0.0034
42,2778.35,1.23293,0.7378,1.01258,0.92939,0.93223,0.96183,0.66651,1.12693,0.70466,0.94307,0.003235,0.003235,0.003235
43,2842.98,1.22221,0.72753,1.00945,0.9275,0.9262,0.95925,0.66536,1.10998,0.6868,0.9402,0.00307,0.00307,0.00307
44,2907.65,1.22413,0.73725,1.01262,0.91443,0.92823,0.95164,0.67579,1.08832,0.68073,0.9382,0.002905,0.002905,0.002905
45,2972.47,1.22152,0.73069,1.00997,0.9214,0.93016,0.96029,0.67834,1.09398,0.67655,0.93732,0.00274,0.00274,0.00274
46,3037.5,1.20451,0.71785,1.0085,0.92288,0.93717,0.96115,0.68531,1.05958,0.67394,0.92752,0.002575,0.002575,0.002575
47,3102.18,1.19438,0.7077,1.00105,0.93864,0.92617,0.95652,0.67538,1.08185,0.66843,0.93252,0.00241,0.00241,0.00241
48,3167.21,1.18677,0.704,0.99691,0.93801,0.9174,0.95702,0.6796,1.07557,0.67746,0.93011,0.002245,0.002245,0.002245
49,3232.49,1.19009,0.71134,0.99812,0.92965,0.91751,0.95538,0.68054,1.07827,0.66794,0.93069,0.00208,0.00208,0.00208
50,3297.96,1.18557,0.69784,0.9954,0.93041,0.92081,0.95688,0.68291,1.06156,0.65171,0.92662,0.001915,0.001915,0.001915
51,3380.52,1.14495,0.64466,1.00236,0.92888,0.93181,0.95945,0.67892,1.07244,0.6558,0.92815,0.00175,0.00175,0.00175
52,3446.02,1.12099,0.63411,0.99246,0.9328,0.93181,0.95686,0.68227,1.07236,0.64856,0.92503,0.001585,0.001585,0.001585
53,3511.13,1.1121,0.61868,0.9879,0.93189,0.93117,0.96097,0.68113,1.08266,0.65062,0.92707,0.00142,0.00142,0.00142
54,3576.39,1.09943,0.60838,0.98379,0.92875,0.93033,0.96131,0.68478,1.07396,0.63917,0.92414,0.001255,0.001255,0.001255
55,3641.86,1.08211,0.60063,0.9756,0.93665,0.92587,0.96077,0.68999,1.06579,0.63697,0.92142,0.00109,0.00109,0.00109
56,3707.12,1.07585,0.60262,0.9722,0.93605,0.92857,0.9593,0.6945,1.05379,0.63219,0.91898,0.000925,0.000925,0.000925
57,3772.43,1.07393,0.59221,0.97347,0.93343,0.92924,0.958,0.69433,1.0544,0.6262,0.91867,0.00076,0.00076,0.00076
58,3837.57,1.06215,0.58275,0.96675,0.93332,0.93216,0.95847,0.69576,1.05062,0.63102,0.9174,0.000595,0.000595,0.000595
59,3902.62,1.04795,0.57026,0.96497,0.93645,0.9373,0.96112,0.69812,1.04792,0.62317,0.91679,0.00043,0.00043,0.00043
60,3970.19,1.04465,0.5762,0.97018,0.9344,0.93873,0.96272,0.69996,1.04028,0.62612,0.91584,0.000265,0.000265,0.000265
