epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3088.08,1.41859,0.89822,1.08114,0.91642,0.92572,0.94319,0.60938,1.22105,0.81859,0.98929,0.005842,0.005842,0.005842
44,3156.66,1.41548,0.91912,1.08182,0.91457,0.92085,0.93961,0.60653,1.22081,0.83273,0.993,0.005743,0.005743,0.005743
45,3222.17,1.41944,0.90522,1.08187,0.92559,0.91665,0.9519,0.61611,1.19564,0.80127,0.98638,0.005644,0.005644,0.005644
46,3287.89,1.40853,0.89301,1.08305,0.91419,0.91083,0.9471,0.62293,1.17605,0.77967,0.98124,0.005545,0.005545,0.005545
47,3355.51,1.39742,0.88834,1.07439,0.91815,0.90975,0.94483,0.61317,1.21561,0.80702,0.98631,0.005446,0.005446,0.005446
48,3420.84,1.38851,0.89446,1.06909,0.91624,0.91835,0.9553,0.61579,1.18512,0.81602,0.98247,0.005347,0.005347,0.005347
49,3487.32,1.3867,0.8807,1.0689,0.92357,0.91467,0.94955,0.62781,1.17061,0.77222,0.97436,0.005248,0.005248,0.005248
50,3554.35,1.39366,0.88134,1.0698,0.90869,0.91133,0.94176,0.62353,1.15522,0.77554,0.97526,0.005149,0.005149,0.005149
51,3621.89,1.37812,0.87163,1.07015,0.92322,0.92816,0.94873,0.62829,1.16724,0.76049,0.97375,0.00505,0.00505,0.00505
52,3688.64,1.37103,0.87025,1.06559,0.93017,0.91469,0.95659,0.62726,1.1659,0.76244,0.97144,0.004951,0.004951,0.004951
53,3753.06,1.37707,0.86386,1.06523,0.93115,0.91464,0.95586,0.63233,1.14452,0.75084,0.96761,0.004852,0.004852,0.004852
54,3818.13,1.37564,0.86555,1.06702,0.92753,0.92011,0.95411,0.63278,1.16823,0.77523,0.9722,0.004753,0.004753,0.004753
55,3882.58,1.35406,0.85537,1.05986,0.92816,0.90981,0.95469,0.63522,1.14376,0.76896,0.96567,0.004654,0.004654,0.004654
56,3946.87,1.35975,0.8532,1.06129,0.92652,0.91918,0.95447,0.63533,1.13892,0.76519,0.96493,0.004555,0.004555,0.004555
57,4011.86,1.35309,0.84773,1.05642,0.92215,0.92132,0.95418,0.64321,1.12871,0.74954,0.96162,0.004456,0.004456,0.004456
58,4076.46,1.35063,0.85173,1.05972,0.93433,0.91896,0.95901,0.63839,1.13856,0.74844,0.96212,0.004357,0.004357,0.004357
59,4143.37,1.33902,0.84384,1.05114,0.93354,0.91894,0.95917,0.64255,1.12935,0.73634,0.95844,0.004258,0.004258,0.004258
60,4210.5,1.36534,0.85085,1.05634,0.9303,0.93233,0.95965,0.64369,1.12488,0.73556,0.95807,0.004159,0.004159,0.004159
61,4277.9,1.33557,0.82728,1.05307,0.92977,0.92446,0.95613,0.64757,1.12609,0.71528,0.95678,0.00406,0.00406,0.00406
62,4347.46,1.33469,0.83496,1.04838,0.93554,0.92973,0.95822,0.65459,1.1257,0.71366,0.95521,0.003961,0.003961,0.003961
